iter	Passed	Remaining
0	0	751
1	1	827
2	2	804
3	3	843
4	3	788
5	4	747
6	5	726
7	5	702
8	6	684
9	6	684
10	7	674
11	8	670
12	8	677
13	9	682
14	10	671
15	10	662
16	11	656
17	11	649
18	12	645
19	13	641
20	13	638
21	14	640
22	15	662
23	16	658
24	16	653
25	17	648
26	17	644
27	18	640
28	18	635
29	19	633
30	20	630
31	20	630
32	21	629
33	22	625
34	22	622
35	23	625
36	23	624
37	24	627
38	25	626
39	25	623
40	26	621
41	27	622
42	27	620
43	28	622
44	29	620
45	29	617
46	30	613
47	30	610
48	31	608
49	31	606
50	32	605
51	33	604
52	33	602
53	34	600
54	34	598
55	35	596
56	35	593
57	36	591
58	36	589
59	37	587
60	38	585
61	38	583
62	39	582
63	39	581
64	40	580
65	40	578
66	41	576
67	42	578
68	42	576
69	43	574
70	43	572
71	44	571
72	45	572
73	45	572
74	46	571
75	46	570
76	47	568
77	47	566
78	48	565
79	49	564
80	49	563
81	50	561
82	50	557
83	51	556
84	51	556
85	52	555
86	52	553
87	53	552
88	53	551
89	54	549
90	54	548
91	55	547
92	56	546
93	56	545
94	57	544
95	57	543
96	58	542
97	58	541
98	59	540
99	59	538
100	60	537
101	60	536
102	61	535
103	62	534
104	62	533
105	63	531
106	63	531
107	64	531
108	64	529
109	65	528
110	65	527
111	66	526
112	66	524
113	67	523
114	67	522
115	68	521
116	68	519
117	69	519
118	70	518
119	70	518
120	71	517
121	71	515
122	72	514
123	72	513
124	73	512
125	73	511
126	74	510
127	74	509
128	75	508
129	75	507
130	76	507
131	77	506
132	77	506
133	78	505
134	78	504
135	79	503
136	79	503
137	80	502
138	80	501
139	81	500
140	82	499
141	82	497
142	83	498
143	83	498
144	84	497
145	84	496
146	85	496
147	86	495
148	86	494
149	87	494
150	87	493
151	88	492
152	88	492
153	89	491
154	90	491
155	90	490
156	91	489
157	91	489
158	92	488
159	92	487
160	93	486
161	93	485
162	94	484
163	94	484
164	95	483
165	96	482
166	96	482
167	97	482
168	97	481
169	98	481
170	99	480
171	99	480
172	100	479
173	100	478
174	101	478
175	102	478
176	102	477
177	103	476
178	103	475
179	104	475
180	104	474
181	105	473
182	106	473
183	106	472
184	107	471
185	107	471
186	108	471
187	109	470
188	109	470
189	110	469
190	110	468
191	111	468
192	112	472
193	113	471
194	114	471
195	114	471
196	115	470
197	115	469
198	116	468
199	117	468
200	117	467
201	118	467
202	118	466
203	119	465
204	119	465
205	120	464
206	121	464
207	121	463
208	122	462
209	122	462
210	123	461
211	124	460
212	124	460
213	125	459
214	125	459
215	126	459
216	127	459
217	127	458
218	128	458
219	129	458
220	129	457
221	130	457
222	131	456
223	131	456
224	132	456
225	133	455
226	133	455
227	134	454
228	134	453
229	135	453
230	135	452
231	136	451
232	137	451
233	137	450
234	138	449
235	138	448
236	139	448
237	139	447
238	140	448
239	141	447
240	141	446
241	142	446
242	143	445
243	143	444
244	144	444
245	144	443
246	145	442
247	145	442
248	146	441
249	147	441
250	147	440
251	148	439
252	148	438
253	149	438
254	149	437
255	150	436
256	151	437
257	151	436
258	152	436
259	153	436
260	153	435
261	154	435
262	155	434
263	155	434
264	156	433
265	156	432
266	157	432
267	158	431
268	158	431
269	159	431
270	160	430
271	160	430
272	161	429
273	161	428
274	162	428
275	162	427
276	163	426
277	164	426
278	164	426
279	165	425
280	166	424
281	166	424
282	167	423
283	167	422
284	168	422
285	169	421
286	169	421
287	170	420
288	170	420
289	171	419
290	171	418
291	172	418
292	173	417
293	173	417
294	174	417
295	175	416
296	175	415
297	176	414
298	176	414
299	177	413
300	178	413
301	178	412
302	179	412
303	179	411
304	180	410
305	180	410
306	181	409
307	181	408
308	182	408
309	183	408
310	184	408
311	184	407
312	185	406
313	185	406
314	186	405
315	187	404
316	187	404
317	188	403
318	188	402
319	189	402
320	190	401
321	190	401
322	191	400
323	191	400
324	192	399
325	192	398
326	193	398
327	194	397
328	194	397
329	195	396
330	195	395
331	196	396
332	197	395
333	197	394
334	198	394
335	199	393
336	199	392
337	200	392
338	200	391
339	201	390
340	201	390
341	202	389
342	203	388
343	203	388
344	204	387
345	204	386
346	205	386
347	205	385
348	206	384
349	206	383
350	207	383
351	207	382
352	208	382
353	209	381
354	209	381
355	210	380
356	210	379
357	211	379
358	212	378
359	212	378
360	213	377
361	213	376
362	214	376
363	215	375
364	215	375
365	216	374
366	216	374
367	217	373
368	218	372
369	218	372
370	219	371
371	219	370
372	220	370
373	220	369
374	221	369
375	222	368
376	222	367
377	223	367
378	223	366
379	224	366
380	225	365
381	225	365
382	226	364
383	226	363
384	227	363
385	228	362
386	228	362
387	229	361
388	229	361
389	230	360
390	231	359
391	231	359
392	232	358
393	232	357
394	233	357
395	233	356
396	234	356
397	235	355
398	235	355
399	236	354
400	236	353
401	237	353
402	238	352
403	238	351
404	239	351
405	239	350
406	240	350
407	240	349
408	241	348
409	241	347
410	242	347
411	242	346
412	243	346
413	244	345
414	244	344
415	245	344
416	245	343
417	246	342
418	246	342
419	247	341
420	247	340
421	248	340
422	248	339
423	249	338
424	250	338
425	250	337
426	251	336
427	251	336
428	252	335
429	252	335
430	253	334
431	254	334
432	254	333
433	255	333
434	255	332
435	256	331
436	257	331
437	257	330
438	258	330
439	259	329
440	259	329
441	260	328
442	260	328
443	261	327
444	261	326
445	262	326
446	263	325
447	263	324
448	264	324
449	264	323
450	265	323
451	266	322
452	266	322
453	267	321
454	268	321
455	268	320
456	269	319
457	269	319
458	270	318
459	270	317
460	271	317
461	272	316
462	272	316
463	273	315
464	273	315
465	274	314
466	274	313
467	275	313
468	276	312
469	276	311
470	277	311
471	277	310
472	278	310
473	279	309
474	279	309
475	280	308
476	280	307
477	281	307
478	281	306
479	282	306
480	283	305
481	283	304
482	284	304
483	284	303
484	285	303
485	286	302
486	286	301
487	287	301
488	288	301
489	288	300
490	289	299
491	289	299
492	290	298
493	291	298
494	291	297
495	292	297
496	293	296
497	293	296
498	294	295
499	294	294
500	295	294
501	296	293
502	296	293
503	297	292
504	297	292
505	298	291
506	299	290
507	299	290
508	300	289
509	300	289
510	301	288
511	302	287
512	302	287
513	303	286
514	303	286
515	304	285
516	305	284
517	305	284
518	306	283
519	306	283
520	307	282
521	308	282
522	308	281
523	309	281
524	310	280
525	310	280
526	311	279
527	312	278
528	312	278
529	313	277
530	313	277
531	314	276
532	315	276
533	315	275
534	316	274
535	316	274
536	317	273
537	318	273
538	318	272
539	319	271
540	319	271
541	320	270
542	321	270
543	321	269
544	322	269
545	322	268
546	323	267
547	324	267
548	324	266
549	325	266
550	326	265
551	326	265
552	327	264
553	327	264
554	328	263
555	329	262
556	329	262
557	330	261
558	330	261
559	331	260
560	332	259
561	332	259
562	333	258
563	334	258
564	334	257
565	335	257
566	336	256
567	336	255
568	337	255
569	337	254
570	338	254
571	338	253
572	339	253
573	340	252
574	340	251
575	341	251
576	341	250
577	342	250
578	343	249
579	343	248
580	344	248
581	344	247
582	345	247
583	346	246
584	346	246
585	347	245
586	348	244
587	348	244
588	349	243
589	349	243
590	350	242
591	351	242
592	351	241
593	352	240
594	353	240
595	353	239
596	354	239
597	354	238
598	355	237
599	355	237
600	356	236
601	356	236
602	357	235
603	358	234
604	358	234
605	359	233
606	359	233
607	360	232
608	361	231
609	361	231
610	362	230
611	362	230
612	363	229
613	364	228
614	364	228
615	365	227
616	365	227
617	366	226
618	367	225
619	367	225
620	368	224
621	368	224
622	369	223
623	370	223
624	370	222
625	371	221
626	371	221
627	372	220
628	373	220
629	373	219
630	374	218
631	374	218
632	375	217
633	376	217
634	376	216
635	377	215
636	377	215
637	378	214
638	378	214
639	379	213
640	380	212
641	380	212
642	381	211
643	381	211
644	382	210
645	383	209
646	383	209
647	384	208
648	384	208
649	385	207
650	386	206
651	386	206
652	387	205
653	387	205
654	388	204
655	388	203
656	389	203
657	390	202
658	390	202
659	391	201
660	392	201
661	392	200
662	393	199
663	393	199
664	394	198
665	394	198
666	395	197
667	396	196
668	396	196
669	397	195
670	397	195
671	398	194
672	398	193
673	399	193
674	400	192
675	400	192
676	401	191
677	401	190
678	402	190
679	403	189
680	403	189
681	404	188
682	404	187
683	405	187
684	406	186
685	406	186
686	407	185
687	407	184
688	408	184
689	408	183
690	409	183
691	410	182
692	410	181
693	411	181
694	411	180
695	412	180
696	412	179
697	413	178
698	414	178
